,City,State,Song,lat,long
54,Los Angeles,California,An Old Hollywood Custom,34.0536909,-118.242766
55,Los Angeles,California,Anaheim,34.0536909,-118.242766
56,Los Angeles,California,...and a Song for Los Angeles,34.0536909,-118.242766
57,Los Angeles,California,Andres,34.0536909,-118.242766
58,Los Angeles,California,Angel City,34.0536909,-118.242766
59,Los Angeles,California,Angel City,34.0536909,-118.242766
60,Los Angeles,California,Angel City,34.0536909,-118.242766
61,Los Angeles,California,Angel City,34.0536909,-118.242766
62,Los Angeles,California,Angel City (We're Dying),34.0536909,-118.242766
63,Los Angeles,California,Angel On Sunset,34.0536909,-118.242766
64,Los Angeles,California,The Angel Song,34.0536909,-118.242766
65,Los Angeles,California,Angel Town,34.0536909,-118.242766
66,Los Angeles,California,Angel Town,34.0536909,-118.242766
67,Los Angeles,California,Angelenos,34.0536909,-118.242766
68,Los Angeles,California,Angeles,34.0536909,-118.242766
69,Los Angeles,California,Angeles,34.0536909,-118.242766
70,Los Angeles,California,Angeles,34.0536909,-118.242766
71,Los Angeles,California,Angeles (City Of The Angels),34.0536909,-118.242766
72,Los Angeles,California,Angeles Domini,34.0536909,-118.242766
73,Los Angeles,California,Angeltown,34.0536909,-118.242766
74,Los Angeles,California,Annie Goes to Hollywood,34.0536909,-118.242766
75,Los Angeles,California,Another Day Another Dollar,34.0536909,-118.242766
76,Los Angeles,California,Another Day in Hollywood,34.0536909,-118.242766
77,Los Angeles,California,Another Day in L.A.,34.0536909,-118.242766
78,Los Angeles,California,Another Day of Sun,34.0536909,-118.242766
79,Los Angeles,California,Another Nice Day in L.A.,34.0536909,-118.242766
80,Los Angeles,California,Another Night In Hollywood,34.0536909,-118.242766
81,Los Angeles,California,Another Sundown in Watts,34.0536909,-118.242766
82,Los Angeles,California,"April 29, 1992 (Miami)",34.0536909,-118.242766
83,Los Angeles,California,Aqui Vivo Yo L.A.,34.0536909,-118.242766
84,Los Angeles,California,Area Code 213,34.0536909,-118.242766
85,Los Angeles,California,As Real as Disneyland,34.0536909,-118.242766
86,Los Angeles,California,Assault on Precinct 13,34.0536909,-118.242766
87,Los Angeles,California,At the House on Sunset,34.0536909,-118.242766
88,Los Angeles,California,At The Roxy,34.0536909,-118.242766
89,Los Angeles,California,Atlantis Is Calling (SOS For Love),34.0536909,-118.242766
90,Los Angeles,California,August In Azusa,34.0536909,-118.242766
91,Los Angeles,California,Avenue of the Stars,34.0536909,-118.242766
92,Los Angeles,California,Baby Got Back,34.0536909,-118.242766
93,Los Angeles,California,Babylon Sisters,34.0536909,-118.242766
94,Los Angeles,California,Back for You,34.0536909,-118.242766
95,Los Angeles,California,Back from Cali ,34.0536909,-118.242766
96,Los Angeles,California,Back From Hollywood,34.0536909,-118.242766
97,Los Angeles,California,Back in L.A.,34.0536909,-118.242766
98,Los Angeles,California,Back in L.A.,34.0536909,-118.242766
99,Los Angeles,California,Back in L.A.,34.0536909,-118.242766
100,Los Angeles,California,Back in L.A.,34.0536909,-118.242766
101,Los Angeles,California,Back on the Street,34.0536909,-118.242766
102,Los Angeles,California,Back Street Hollywood,34.0536909,-118.242766
103,Los Angeles,California,Back to L.A.,34.0536909,-118.242766
104,Los Angeles,California,Back to L.A.,34.0536909,-118.242766
105,Los Angeles,California,Back to L.A.,34.0536909,-118.242766
106,Los Angeles,California,Bad Boy,34.0536909,-118.242766
107,Los Angeles,California,Bad Night at the Whiskey,34.0536909,-118.242766
108,Los Angeles,California,Bad Sneakers,34.0536909,-118.242766
109,Los Angeles,California,Bad Year at UCLA,34.0536909,-118.242766
110,Los Angeles,California,Balboa Blue,34.0536909,-118.242766
111,Los Angeles,California,Ballad of a Teenage Queen,34.0536909,-118.242766
112,Los Angeles,California,Ballad of Hollywood,34.0536909,-118.242766
113,Los Angeles,California,The Ballad of Jed Clampett,34.0536909,-118.242766
114,Los Angeles,California,Ballad of Johnny,34.0536909,-118.242766
115,Los Angeles,California,Ballad of Los Angeles,34.0536909,-118.242766
116,Los Angeles,California,Bam Bam In L.A. City,34.0536909,-118.242766
117,Los Angeles,California,The Bandits of Beverly Hills,34.0536909,-118.242766
118,Los Angeles,California,Barefoot in Beverly Hills,34.0536909,-118.242766
119,Los Angeles,California,Barrio Suite,34.0536909,-118.242766
120,Los Angeles,California,The Bars in L.A.,34.0536909,-118.242766
121,Los Angeles,California,The Bay to L.A.,34.0536909,-118.242766
122,Los Angeles,California,Be A Believer In Dodger Fever,34.0536909,-118.242766
123,Los Angeles,California,Beach Baby,34.0536909,-118.242766
124,Los Angeles,California,A Beautiful Day In L.A.,34.0536909,-118.242766
125,Los Angeles,California,Beautiful Downtown Burbank,34.0536909,-118.242766
126,Los Angeles,California,Beautiful in Los Angeles,34.0536909,-118.242766
127,Los Angeles,California,Beauty Queen of Watts,34.0536909,-118.242766
128,Los Angeles,California,"Because, It's Midnite",34.0536909,-118.242766
129,Los Angeles,California,Bedford Drive,34.0536909,-118.242766
130,Los Angeles,California,Been to Hell,34.0536909,-118.242766
131,Los Angeles,California,Before Hollywood,34.0536909,-118.242766
132,Los Angeles,California,Bel Air,34.0536909,-118.242766
133,Los Angeles,California,Bel Air,34.0536909,-118.242766
134,Los Angeles,California,Bel Air ~Kuuhaku no Shunkan no Naka De~,34.0536909,-118.242766
135,Los Angeles,California,Bel Air,34.0536909,-118.242766
136,Los Angeles,California,Bel Air Boogie,34.0536909,-118.242766
137,Los Angeles,California,Bel Air Rain,34.0536909,-118.242766
138,Los Angeles,California,Belew Jay Way,34.0536909,-118.242766
139,Los Angeles,California,Betty's Office at Paramount,34.0536909,-118.242766
140,Los Angeles,California,Beverly Drive,34.0536909,-118.242766
141,Los Angeles,California,Beverly Glen,34.0536909,-118.242766
142,Los Angeles,California,Beverly Hillbillies,34.0536909,-118.242766
143,Los Angeles,California,Beverly Hills,34.0536909,-118.242766
144,Los Angeles,California,Beverly Hills,34.0536909,-118.242766
145,Los Angeles,California,,34.0536909,-118.242766
146,Los Angeles,California,Beverly Hills,34.0536909,-118.242766
147,Los Angeles,California,Beverly Hills,34.0536909,-118.242766
148,Los Angeles,California,Beverly Hills,34.0536909,-118.242766
149,Los Angeles,California,Beverly Hills,34.0536909,-118.242766
150,Los Angeles,California,Theme from Beverly Hills 90210,34.0536909,-118.242766
151,Los Angeles,California,Beverly Hills Blues,34.0536909,-118.242766
152,Los Angeles,California,Beverly Hills Goes To Acid,34.0536909,-118.242766
153,Los Angeles,California,,34.0536909,-118.242766
154,Los Angeles,California,Beverly Hills Rapp (Movie Theme),34.0536909,-118.242766
155,Los Angeles,California,Beverly Kills (Freaks With Golden Heirs),34.0536909,-118.242766
156,Los Angeles,California,Bi-Coastal,34.0536909,-118.242766
157,Los Angeles,California,Big Bel Air,34.0536909,-118.242766
158,Los Angeles,California,Big City,34.0536909,-118.242766
159,Los Angeles,California,Big Dreams,34.0536909,-118.242766
160,Los Angeles,California,Big Dumb Town,34.0536909,-118.242766
161,Los Angeles,California,Big in LA,34.0536909,-118.242766
162,Los Angeles,California,The Big Noise From Encino,34.0536909,-118.242766
163,Los Angeles,California,Big Noise from L.A.,34.0536909,-118.242766
164,Los Angeles,California,A Big Star in Hollywood,34.0536909,-118.242766
165,Los Angeles,California,Bike Up the Strand,34.0536909,-118.242766
166,Los Angeles,California,Biking Up the Strand,34.0536909,-118.242766
167,Los Angeles,California,Billy the Mountain,34.0536909,-118.242766
168,Los Angeles,California,B***ch With A Perm,34.0536909,-118.242766
169,Los Angeles,California,Bizarre in L.A.,34.0536909,-118.242766
170,Los Angeles,California,Blackhawks Over Los Angeles,34.0536909,-118.242766
171,Los Angeles,California,Black Planet,34.0536909,-118.242766
172,Los Angeles,California,Black Tie White Noise,34.0536909,-118.242766
173,Los Angeles,California,Bloody Mary Morning,34.0536909,-118.242766
174,Los Angeles,California,Blow,34.0536909,-118.242766
175,Los Angeles,California,Blow Me Back Santa Ana,34.0536909,-118.242766
176,Los Angeles,California,Blue Hills Of Pasadena,34.0536909,-118.242766
177,Los Angeles,California,Blue Jay Way,34.0536909,-118.242766
178,Los Angeles,California,Blue Malibu,34.0536909,-118.242766
179,Los Angeles,California,Blue Night on the Strip,34.0536909,-118.242766
180,Los Angeles,California,Bluegrass in Hollywood,34.0536909,-118.242766
181,Los Angeles,California,Blues For L.A.,34.0536909,-118.242766
182,Los Angeles,California,Blues in Torrance,34.0536909,-118.242766
183,Los Angeles,California,Boards and Bikinis Rule (Down at Malibu),34.0536909,-118.242766
184,Los Angeles,California,Bondage on the Boulevards,34.0536909,-118.242766
185,Los Angeles,California,Bonita Applebum,34.0536909,-118.242766
186,Los Angeles,California,Boogin' At Berg's,34.0536909,-118.242766
187,Los Angeles,California,Boogie Woogie at the Philharmonic,34.0536909,-118.242766
188,Los Angeles,California,Born and Raised in Compton,34.0536909,-118.242766
189,Los Angeles,California,Born in East L.A.,34.0536909,-118.242766
190,Los Angeles,California,Botanica De Los Angeles,34.0536909,-118.242766
191,Los Angeles,California,Boulevard,34.0536909,-118.242766
192,Los Angeles,California,Boulevard L.A.,34.0536909,-118.242766
193,Los Angeles,California,Boulevard Nights,34.0536909,-118.242766
194,Los Angeles,California,Boyle Heights,34.0536909,-118.242766
195,Los Angeles,California,Boyle Heights Affair,34.0536909,-118.242766
